Fecha,HR_stable,RRbar_s,RMSSD_stable,lnRMSSD,cRMSSD,beta_mode,beta_est_90d,beta_use_90d,R2_winsor_90d,Color_Agudo_Diario,Color_Tendencia,Color_Tiebreak
2025-08-28,53.42038878171836,1.1231666666666666,37.920741803919626,3.6354982395351336,47.30654263315703,frozen,3.300469304699468,3.0,0.6218029199732913,Ámbar,Verde,Ámbar
2025-08-29,48.88191274861674,1.2274478764478765,54.60109037159828,4.000053852727251,51.88958304062079,frozen,3.31051006530273,3.0,0.6232198823056032,Verde,Verde,Verde
2025-08-30,49.80973962118944,1.2045836909871246,48.23639704621397,3.87611386153291,48.77990242210952,frozen,3.2575678364466274,3.0,0.6165019822765098,Verde,Verde,Verde
2025-08-31,53.32347441539697,1.125208,40.88842016055166,3.710846897302236,50.73163972240299,frozen,3.282606468922187,3.0,0.6163878429330294,Rojo,Verde,Rojo
2025-09-01,49.48122125132114,1.212581227436823,50.63058879510616,3.924555915286233,49.90780834714083,frozen,3.2398715589537184,3.0,0.6137128186507478,Verde,Verde,Verde
2025-09-02,48.85004475671688,1.2282486187845305,56.92748799032756,4.041778317456321,53.99470951752273,frozen,3.221251913099944,3.0,0.6066247652469392,Verde,Verde,Verde
2025-09-03,48.5709319361327,1.2353067484662577,63.10954614648098,4.1448720441027085,58.83810230342304,frozen,3.240266024152882,3.0,0.6002211180458223,Verde,Verde,Verde
2025-09-04,49.11294197199138,1.2216739130434784,49.50978669013016,3.9021703609441385,47.99568087051125,frozen,3.2698578624783057,3.0,0.5999886088445309,Verde,Verde,Verde
2025-09-05,47.06867990631962,1.2747330097087377,63.43735146564374,4.150052827805089,54.13328081363667,frozen,3.433419920623833,3.0,0.6128649813468416,Verde,Verde,Verde
2025-09-06,50.6949624735488,1.1835495495495496,40.910065804920144,3.711376140468983,43.74769671989626,frozen,3.4324662333239133,3.0,0.6178283112316346,Ámbar,Ámbar,Ámbar
2025-09-07,52.4801559410348,1.1432892857142856,47.14083224250638,3.853139552051048,55.91114044304917,frozen,3.433863430350048,3.0,0.6176872915650182,Ámbar,Verde,Ámbar
2025-09-08,49.15543357725742,1.2206178571428572,56.66227054421493,4.037108566741273,55.22355003283255,frozen,3.37206524842892,3.0,0.6116889213367376,Verde,Verde,Verde
2025-09-09,51.410811795228526,1.1670696864111498,50.65721909218712,3.925081749505573,56.513233702625065,frozen,3.412179925993501,3.0,0.6151716114585473,Verde,Verde,Verde
2025-09-10,50.62325549140965,1.1852260273972604,34.94320515074278,3.5537240334907625,37.19878063498811,frozen,3.537672925017528,3.0,0.6699623854185991,Rojo,Rojo,Rojo
2025-09-11,46.49560874806268,1.2904444444444445,84.66390078195978,4.438689309887209,69.83125438601611,frozen,3.45916411176361,3.0,0.644186648650918,Verde,Verde,Verde
2025-09-12,48.75384635878035,1.230672131147541,46.465399313180725,3.838707934821095,44.20809040658112,frozen,3.395176402911538,3.0,0.6455441257024725,Verde,Ámbar,Verde
2025-09-13,49.39771766694843,1.214631016042781,43.2316217401056,3.766572212204574,43.01312026326193,frozen,3.368398386075405,3.0,0.642474195689748,Ámbar,Rojo,Ámbar
2025-09-14,47.9604733306588,1.2510301886792454,60.634148794223215,4.104858245818138,55.27062084344823,frozen,3.365377799099611,3.0,0.6379387587211758,Verde,Verde,Verde
2025-09-15,51.802222547598966,1.1582514619883042,40.27661706689056,3.69577107889366,46.37940982142769,frozen,3.3566736052971407,3.0,0.6319445017855928,Ámbar,Verde,Verde
2025-09-16,44.90291988720387,1.3362159999999998,67.56705152374863,4.213120460734382,50.54583690212516,frozen,3.3763273731703296,3.0,0.6387954304178521,Verde,Verde,Verde
2025-09-17,45.721323147382,1.3122979797979797,56.27971296453598,4.03033413210056,44.55898567861569,frozen,3.28434901811806,3.0,0.633130702524394,Verde,Ámbar,Ámbar
2025-09-18,50.95906498154569,1.1774156378600824,41.05257664978872,3.714853602498336,45.18722949988106,frozen,3.2271911649245646,3.0,0.6196677744636172,Ámbar,Ámbar,Verde
2025-09-19,57.780349244933525,1.0384153225806454,33.518379754643846,3.5120939377703246,53.64173965024686,frozen,3.252357970392862,3.0,0.6217597638771788,Rojo,Verde,Ámbar
